"SchoolYear","State","LEA_ID","LEA","Group","Description","Value","Value_Min","Value_Max","Denominator","Grade","Subject"
"2016-2017","OHIO",3904984,"Fairless Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,126,"High School","Mathematics"
"2016-2017","OHIO",3904985,"Jackson Local",583,"Performance on Statewide Mathematics Assessment","65",65,65,483,"High School","Mathematics"
"2016-2017","OHIO",3904986,"Lake Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,289,"High School","Mathematics"
"2016-2017","OHIO",3904987,"Louisville City",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,216,"High School","Mathematics"
"2016-2017","OHIO",3904988,"Marlington Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,201,"High School","Mathematics"
"2016-2017","OHIO",3904989,"Minerva Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,145,"High School","Mathematics"
"2016-2017","OHIO",3904990,"Northwest Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,154,"High School","Mathematics"
"2016-2017","OHIO",3904991,"Osnaburg Local",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,65,"High School","Mathematics"
"2016-2017","OHIO",3904992,"Perry Local",583,"Performance on Statewide Mathematics Assessment","48",48,48,365,"High School","Mathematics"
"2016-2017","OHIO",3904993,"Plain Local",583,"Performance on Statewide Mathematics Assessment","58",58,58,515,"High School","Mathematics"
"2016-2017","OHIO",3904994,"Sandy Valley Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,99,"High School","Mathematics"
"2016-2017","OHIO",3904995,"Tuslaw Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,105,"High School","Mathematics"
"2016-2017","OHIO",3904997,"Woodridge Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,157,"High School","Mathematics"
"2016-2017","OHIO",3904998,"Copley-Fairlawn City",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,261,"High School","Mathematics"
"2016-2017","OHIO",3904999,"Coventry Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,207,"High School","Mathematics"
"2016-2017","OHIO",3905000,"Manchester Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,99,"High School","Mathematics"
"2016-2017","OHIO",3905001,"Green Local",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,268,"High School","Mathematics"
"2016-2017","OHIO",3905002,"Hudson City",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,286,"High School","Mathematics"
"2016-2017","OHIO",3905003,"Mogadore Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,67,"High School","Mathematics"
"2016-2017","OHIO",3905004,"Nordonia Hills City",583,"Performance on Statewide Mathematics Assessment","70",70,70,305,"High School","Mathematics"
"2016-2017","OHIO",3905005,"Revere Local",583,"Performance on Statewide Mathematics Assessment","85-89",85,89,201,"High School","Mathematics"
"2016-2017","OHIO",3905006,"Springfield Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,178,"High School","Mathematics"
"2016-2017","OHIO",3905007,"Twinsburg City",583,"Performance on Statewide Mathematics Assessment","78",78,78,310,"High School","Mathematics"
"2016-2017","OHIO",3905009,"Bloomfield-Mespo Local",583,"Performance on Statewide Mathematics Assessment","21-39",21,39,16,"High School","Mathematics"
"2016-2017","OHIO",3905011,"Bristol Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,44,"High School","Mathematics"
"2016-2017","OHIO",3905012,"Brookfield Local",583,"Performance on Statewide Mathematics Assessment","GE80",80,100,20,"High School","Mathematics"
"2016-2017","OHIO",3905013,"Champion Local",583,"Performance on Statewide Mathematics Assessment","80-84",80,84,105,"High School","Mathematics"
"2016-2017","OHIO",3905015,"Mathews Local",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,63,"High School","Mathematics"
"2016-2017","OHIO",3905016,"Howland Local",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,211,"High School","Mathematics"
"2016-2017","OHIO",3905017,"Joseph Badger Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,67,"High School","Mathematics"
"2016-2017","OHIO",3905018,"Lakeview Local",583,"Performance on Statewide Mathematics Assessment","80-84",80,84,143,"High School","Mathematics"
"2016-2017","OHIO",3905019,"Liberty Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,62,"High School","Mathematics"
"2016-2017","OHIO",3905020,"Lordstown Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,48,"High School","Mathematics"
"2016-2017","OHIO",3905021,"Maplewood Local",583,"Performance on Statewide Mathematics Assessment","80-89",80,89,54,"High School","Mathematics"
"2016-2017","OHIO",3905022,"McDonald Local",583,"Performance on Statewide Mathematics Assessment","80-84",80,84,78,"High School","Mathematics"
"2016-2017","OHIO",3905023,"Southington Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,47,"High School","Mathematics"
"2016-2017","OHIO",3905024,"LaBrae Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,78,"High School","Mathematics"
"2016-2017","OHIO",3905025,"Weathersfield Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,74,"High School","Mathematics"
"2016-2017","OHIO",3905027,"Garaway Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,88,"High School","Mathematics"
"2016-2017","OHIO",3905028,"Indian Valley Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,127,"High School","Mathematics"
"2016-2017","OHIO",3905029,"Strasburg-Franklin Local",583,"Performance on Statewide Mathematics Assessment","70-79",70,79,45,"High School","Mathematics"
"2016-2017","OHIO",3905030,"Tuscarawas Valley Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,114,"High School","Mathematics"
"2016-2017","OHIO",3905032,"Fairbanks Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,102,"High School","Mathematics"
"2016-2017","OHIO",3905033,"North Union Local School District",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,104,"High School","Mathematics"
"2016-2017","OHIO",3905035,"Crestview Local",583,"Performance on Statewide Mathematics Assessment","GE50",50,100,12,"High School","Mathematics"
"2016-2017","OHIO",3905039,"Vinton County Local",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,174,"High School","Mathematics"
