"SchoolYear","State","LEA_ID","LEA","Group","Description","Value","Value_Min","Value_Max","Denominator","Grade","Subject"
"2018-2019","OHIO",3904578,"Perry Local",583,"Performance on Statewide Mathematics Assessment","30-39",30,39,57,"High School","Mathematics"
"2018-2019","OHIO",3904579,"Shawnee Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,178,"High School","Mathematics"
"2018-2019","OHIO",3904580,"Spencerville Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,81,"High School","Mathematics"
"2018-2019","OHIO",3904582,"Hillsdale Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,60,"High School","Mathematics"
"2018-2019","OHIO",3904583,"Mapleton Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,84,"High School","Mathematics"
"2018-2019","OHIO",3904585,"Buckeye Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,122,"High School","Mathematics"
"2018-2019","OHIO",3904586,"Grand Valley Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,111,"High School","Mathematics"
"2018-2019","OHIO",3904587,"Jefferson Area Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,124,"High School","Mathematics"
"2018-2019","OHIO",3904588,"Pymatuning Valley Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,85,"High School","Mathematics"
"2018-2019","OHIO",3904590,"Alexander Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,114,"High School","Mathematics"
"2018-2019","OHIO",3904591,"Federal Hocking Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,56,"High School","Mathematics"
"2018-2019","OHIO",3904592,"Trimble Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,63,"High School","Mathematics"
"2018-2019","OHIO",3904594,"Minster Local",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,77,"High School","Mathematics"
"2018-2019","OHIO",3904595,"New Bremen Local",583,"Performance on Statewide Mathematics Assessment","80-84",80,84,63,"High School","Mathematics"
"2018-2019","OHIO",3904596,"New Knoxville Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,37,"High School","Mathematics"
"2018-2019","OHIO",3904597,"Waynesfield-Goshen Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,31,"High School","Mathematics"
"2018-2019","OHIO",3904599,"St Clairsville-Richland City",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,139,"High School","Mathematics"
"2018-2019","OHIO",3904600,"Shadyside Local",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,69,"High School","Mathematics"
"2018-2019","OHIO",3904601,"Union Local",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,127,"High School","Mathematics"
"2018-2019","OHIO",3904603,"Eastern Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,119,"High School","Mathematics"
"2018-2019","OHIO",3904604,"Fayetteville-Perry Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,67,"High School","Mathematics"
"2018-2019","OHIO",3904606,"Western Brown Local",583,"Performance on Statewide Mathematics Assessment","20-24",20,24,246,"High School","Mathematics"
"2018-2019","OHIO",3904607,"Ripley-Union-Lewis-Huntington Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,67,"High School","Mathematics"
"2018-2019","OHIO",3904609,"Edgewood City",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,255,"High School","Mathematics"
"2018-2019","OHIO",3904610,"Fairfield City",583,"Performance on Statewide Mathematics Assessment","43",43,43,860,"High School","Mathematics"
"2018-2019","OHIO",3904611,"Lakota Local",583,"Performance on Statewide Mathematics Assessment","69",69,69,1296,"High School","Mathematics"
"2018-2019","OHIO",3904612,"Madison Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,116,"High School","Mathematics"
"2018-2019","OHIO",3904613,"New Miami Local",583,"Performance on Statewide Mathematics Assessment","11-19",11,19,42,"High School","Mathematics"
"2018-2019","OHIO",3904614,"Ross Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,241,"High School","Mathematics"
"2018-2019","OHIO",3904615,"Talawanda City",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,226,"High School","Mathematics"
"2018-2019","OHIO",3904617,"Brown Local",583,"Performance on Statewide Mathematics Assessment","20-29",20,29,54,"High School","Mathematics"
"2018-2019","OHIO",3904619,"Graham Local",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,183,"High School","Mathematics"
"2018-2019","OHIO",3904620,"Triad Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,90,"High School","Mathematics"
"2018-2019","OHIO",3904621,"West Liberty-Salem Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,109,"High School","Mathematics"
"2018-2019","OHIO",3904623,"Greenon Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,103,"High School","Mathematics"
"2018-2019","OHIO",3904624,"Tecumseh Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,258,"High School","Mathematics"
"2018-2019","OHIO",3904625,"Northeastern Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,236,"High School","Mathematics"
"2018-2019","OHIO",3904626,"Northwestern Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,111,"High School","Mathematics"
"2018-2019","OHIO",3904627,"Southeastern Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,56,"High School","Mathematics"
"2018-2019","OHIO",3904628,"Clark-Shawnee Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,140,"High School","Mathematics"
"2018-2019","OHIO",3904630,"Batavia Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,148,"High School","Mathematics"
"2018-2019","OHIO",3904631,"Bethel-Tate Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,138,"High School","Mathematics"
"2018-2019","OHIO",3904632,"Clermont Northeastern Local",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,137,"High School","Mathematics"
"2018-2019","OHIO",3904633,"Felicity-Franklin Local",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,66,"High School","Mathematics"
"2018-2019","OHIO",3904634,"Goshen Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,237,"High School","Mathematics"
"2018-2019","OHIO",3904635,"West Clermont Local",583,"Performance on Statewide Mathematics Assessment","50",50,50,629,"High School","Mathematics"
"2018-2019","OHIO",3904636,"Williamsburg Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,93,"High School","Mathematics"
"2018-2019","OHIO",3904638,"Blanchester Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,103,"High School","Mathematics"
"2018-2019","OHIO",3904639,"Clinton-Massie Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,153,"High School","Mathematics"
"2018-2019","OHIO",3904640,"East Clinton Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,108,"High School","Mathematics"
"2018-2019","OHIO",3904642,"Beaver Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,151,"High School","Mathematics"
"2018-2019","OHIO",3904643,"Crestview Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,121,"High School","Mathematics"
"2018-2019","OHIO",3904644,"Southern Local",583,"Performance on Statewide Mathematics Assessment","30-39",30,39,58,"High School","Mathematics"
"2018-2019","OHIO",3904645,"United Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,101,"High School","Mathematics"
"2018-2019","OHIO",3904647,"Ridgewood Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,108,"High School","Mathematics"
"2018-2019","OHIO",3904648,"River View Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,154,"High School","Mathematics"
"2018-2019","OHIO",3904650,"Buckeye Central Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,51,"High School","Mathematics"
"2018-2019","OHIO",3904651,"Colonel Crawford Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,73,"High School","Mathematics"
"2018-2019","OHIO",3904652,"Wynford Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,101,"High School","Mathematics"
"2018-2019","OHIO",3904655,"Cuyahoga Heights Local",583,"Performance on Statewide Mathematics Assessment","80-89",80,89,57,"High School","Mathematics"
"2018-2019","OHIO",3904656,"Independence Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,71,"High School","Mathematics"
"2018-2019","OHIO",3904657,"Olmsted Falls City",583,"Performance on Statewide Mathematics Assessment","77",77,77,315,"High School","Mathematics"
"2018-2019","OHIO",3904659,"Richmond Heights Local",583,"Performance on Statewide Mathematics Assessment","11-19",11,19,60,"High School","Mathematics"
"2018-2019","OHIO",3904660,"Solon City",583,"Performance on Statewide Mathematics Assessment","89",89,89,342,"High School","Mathematics"
"2018-2019","OHIO",3904662,"Ansonia Local",583,"Performance on Statewide Mathematics Assessment","70-79",70,79,57,"High School","Mathematics"
"2018-2019","OHIO",3904663,"Arcanum-Butler Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,94,"High School","Mathematics"
"2018-2019","OHIO",3904664,"Franklin Monroe Local",583,"Performance on Statewide Mathematics Assessment","40-49",40,49,58,"High School","Mathematics"
"2018-2019","OHIO",3904667,"Mississinawa Valley Local",583,"Performance on Statewide Mathematics Assessment","40-49",40,49,51,"High School","Mathematics"
"2018-2019","OHIO",3904668,"Tri-Village Local",583,"Performance on Statewide Mathematics Assessment","80-89",80,89,59,"High School","Mathematics"
"2018-2019","OHIO",3904670,"Ayersville Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,60,"High School","Mathematics"
"2018-2019","OHIO",3904671,"Central Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,89,"High School","Mathematics"
"2018-2019","OHIO",3904672,"Northeastern Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,104,"High School","Mathematics"
"2018-2019","OHIO",3904674,"Big Walnut Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,247,"High School","Mathematics"
"2018-2019","OHIO",3904675,"Buckeye Valley Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,199,"High School","Mathematics"
"2018-2019","OHIO",3904676,"Olentangy Local",583,"Performance on Statewide Mathematics Assessment","82",82,82,1625,"High School","Mathematics"
"2018-2019","OHIO",3904678,"Edison Local (formerly Berlin-Milan)",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,103,"High School","Mathematics"
"2018-2019","OHIO",3904680,"Margaretta Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,93,"High School","Mathematics"
"2018-2019","OHIO",3904681,"Perkins Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,179,"High School","Mathematics"
"2018-2019","OHIO",3904682,"Vermilion Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,158,"High School","Mathematics"
"2018-2019","OHIO",3904684,"Amanda-Clearcreek Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,107,"High School","Mathematics"
"2018-2019","OHIO",3904685,"Berne Union Local",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,81,"High School","Mathematics"
"2018-2019","OHIO",3904686,"Bloom-Carroll Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,173,"High School","Mathematics"
"2018-2019","OHIO",3904687,"Fairfield Union Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,176,"High School","Mathematics"
"2018-2019","OHIO",3904688,"Liberty Union-Thurston Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,93,"High School","Mathematics"
"2018-2019","OHIO",3904689,"Pickerington Local",583,"Performance on Statewide Mathematics Assessment","59",59,59,924,"High School","Mathematics"
"2018-2019","OHIO",3904690,"Walnut Township Local",583,"Performance on Statewide Mathematics Assessment","30-39",30,39,37,"High School","Mathematics"
"2018-2019","OHIO",3904694,"Canal Winchester Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,296,"High School","Mathematics"
"2018-2019","OHIO",3904695,"Hamilton Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,214,"High School","Mathematics"
"2018-2019","OHIO",3904696,"Gahanna-Jefferson City",583,"Performance on Statewide Mathematics Assessment","58",58,58,541,"High School","Mathematics"
"2018-2019","OHIO",3904697,"Groveport Madison Local",583,"Performance on Statewide Mathematics Assessment","22",22,22,557,"High School","Mathematics"
"2018-2019","OHIO",3904699,"New Albany-Plain Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,280,"High School","Mathematics"
"2018-2019","OHIO",3904700,"Reynoldsburg City",583,"Performance on Statewide Mathematics Assessment","38",38,38,494,"High School","Mathematics"
"2018-2019","OHIO",3904701,"Hilliard City",583,"Performance on Statewide Mathematics Assessment","70",70,70,1207,"High School","Mathematics"
"2018-2019","OHIO",3904702,"Dublin City",583,"Performance on Statewide Mathematics Assessment","76",76,76,1267,"High School","Mathematics"
"2018-2019","OHIO",3904704,"Archbold-Area Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,90,"High School","Mathematics"
"2018-2019","OHIO",3904705,"Evergreen Local",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,88,"High School","Mathematics"
"2018-2019","OHIO",3904706,"Fayette Local",583,"Performance on Statewide Mathematics Assessment","30-39",30,39,41,"High School","Mathematics"
"2018-2019","OHIO",3904707,"Pettisville Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,31,"High School","Mathematics"
"2018-2019","OHIO",3904708,"Pike-Delta-York Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,100,"High School","Mathematics"
"2018-2019","OHIO",3904709,"Swanton Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,121,"High School","Mathematics"
"2018-2019","OHIO",3904716,"Berkshire Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,94,"High School","Mathematics"
"2018-2019","OHIO",3904717,"Cardinal Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,73,"High School","Mathematics"
"2018-2019","OHIO",3904718,"Chardon Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,240,"High School","Mathematics"
"2018-2019","OHIO",3904719,"Kenston Local",583,"Performance on Statewide Mathematics Assessment","80-84",80,84,245,"High School","Mathematics"
"2018-2019","OHIO",3904721,"Newbury Local",583,"Performance on Statewide Mathematics Assessment","21-39",21,39,29,"High School","Mathematics"
"2018-2019","OHIO",3904722,"West Geauga Local",583,"Performance on Statewide Mathematics Assessment","80-84",80,84,178,"High School","Mathematics"
"2018-2019","OHIO",3904724,"Beavercreek City",583,"Performance on Statewide Mathematics Assessment","62",62,62,801,"High School","Mathematics"
"2018-2019","OHIO",3904725,"Cedar Cliff Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,57,"High School","Mathematics"
"2018-2019","OHIO",3904726,"Greeneview Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,105,"High School","Mathematics"
"2018-2019","OHIO",3904727,"Bellbrook-Sugarcreek Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,161,"High School","Mathematics"
"2018-2019","OHIO",3904730,"Rolling Hills Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,84,"High School","Mathematics"
"2018-2019","OHIO",3904733,"Finneytown Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,84,"High School","Mathematics"
"2018-2019","OHIO",3904734,"Forest Hills Local",583,"Performance on Statewide Mathematics Assessment","72",72,72,590,"High School","Mathematics"
"2018-2019","OHIO",3904736,"Northwest Local",583,"Performance on Statewide Mathematics Assessment","53",53,53,563,"High School","Mathematics"
"2018-2019","OHIO",3904737,"Oak Hills Local",583,"Performance on Statewide Mathematics Assessment","60",60,60,608,"High School","Mathematics"
"2018-2019","OHIO",3904738,"Southwest Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,263,"High School","Mathematics"
"2018-2019","OHIO",3904739,"Three Rivers Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,155,"High School","Mathematics"
"2018-2019","OHIO",3904742,"Arlington Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,52,"High School","Mathematics"
"2018-2019","OHIO",3904743,"Cory-Rawson Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,31,"High School","Mathematics"
"2018-2019","OHIO",3904744,"Liberty-Benton Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,122,"High School","Mathematics"
"2018-2019","OHIO",3904745,"McComb Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,46,"High School","Mathematics"
"2018-2019","OHIO",3904747,"Vanlue Local",583,"Performance on Statewide Mathematics Assessment","60-79",60,79,19,"High School","Mathematics"
"2018-2019","OHIO",3904749,"Hardin Northern Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,35,"High School","Mathematics"
"2018-2019","OHIO",3904750,"Ridgemont Local",583,"Performance on Statewide Mathematics Assessment","40-49",40,49,44,"High School","Mathematics"
"2018-2019","OHIO",3904751,"Riverdale Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,78,"High School","Mathematics"
"2018-2019","OHIO",3904752,"Upper Scioto Valley Local",583,"Performance on Statewide Mathematics Assessment","11-19",11,19,36,"High School","Mathematics"
"2018-2019","OHIO",3904754,"Conotton Valley Union Local",583,"Performance on Statewide Mathematics Assessment","30-39",30,39,40,"High School","Mathematics"
"2018-2019","OHIO",3904757,"Holgate Local",583,"Performance on Statewide Mathematics Assessment","70-79",70,79,38,"High School","Mathematics"
"2018-2019","OHIO",3904758,"Liberty Center Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,97,"High School","Mathematics"
"2018-2019","OHIO",3904759,"Patrick Henry Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,75,"High School","Mathematics"
"2018-2019","OHIO",3904761,"Bright Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,62,"High School","Mathematics"
"2018-2019","OHIO",3904762,"Fairfield Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,80,"High School","Mathematics"
"2018-2019","OHIO",3904763,"Lynchburg-Clay Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,95,"High School","Mathematics"
"2018-2019","OHIO",3904768,"East Holmes Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,71,"High School","Mathematics"
"2018-2019","OHIO",3904769,"West Holmes Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,168,"High School","Mathematics"
"2018-2019","OHIO",3904771,"Monroeville Local",583,"Performance on Statewide Mathematics Assessment","20-29",20,29,56,"High School","Mathematics"
"2018-2019","OHIO",3904772,"New London Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,65,"High School","Mathematics"
"2018-2019","OHIO",3904773,"South Central Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,52,"High School","Mathematics"
"2018-2019","OHIO",3904774,"Western Reserve Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,75,"High School","Mathematics"
"2018-2019","OHIO",3904776,"Oak Hill Union Local",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,109,"High School","Mathematics"
"2018-2019","OHIO",3904778,"Buckeye Local",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,131,"High School","Mathematics"
"2018-2019","OHIO",3904779,"Edison Local",583,"Performance on Statewide Mathematics Assessment","20-24",20,24,123,"High School","Mathematics"
"2018-2019","OHIO",3904780,"Indian Creek Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,163,"High School","Mathematics"
"2018-2019","OHIO",3904782,"Centerburg Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,88,"High School","Mathematics"
"2018-2019","OHIO",3904783,"Danville Local",583,"Performance on Statewide Mathematics Assessment","30-39",30,39,42,"High School","Mathematics"
"2018-2019","OHIO",3904785,"Fredericktown Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,100,"High School","Mathematics"
"2018-2019","OHIO",3904787,"Kirtland Local",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,116,"High School","Mathematics"
"2018-2019","OHIO",3904788,"Madison Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,201,"High School","Mathematics"
"2018-2019","OHIO",3904790,"Perry Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,52,"High School","Mathematics"
"2018-2019","OHIO",3904792,"Dawson-Bryant Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,96,"High School","Mathematics"
"2018-2019","OHIO",3904793,"Fairland Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,141,"High School","Mathematics"
"2018-2019","OHIO",3904794,"Rock Hill Local",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,115,"High School","Mathematics"
"2018-2019","OHIO",3904795,"South Point Local",583,"Performance on Statewide Mathematics Assessment","15-19",15,19,138,"High School","Mathematics"
"2018-2019","OHIO",3904796,"Symmes Valley Local",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,19,"High School","Mathematics"
"2018-2019","OHIO",3904798,"Johnstown-Monroe Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,120,"High School","Mathematics"
"2018-2019","OHIO",3904799,"Lakewood Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,169,"High School","Mathematics"
"2018-2019","OHIO",3904800,"Licking Heights Local",583,"Performance on Statewide Mathematics Assessment","46",46,46,302,"High School","Mathematics"
"2018-2019","OHIO",3904801,"Licking Valley Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,163,"High School","Mathematics"
"2018-2019","OHIO",3904802,"North Fork Local",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,133,"High School","Mathematics"
"2018-2019","OHIO",3904803,"Northridge Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,89,"High School","Mathematics"
"2018-2019","OHIO",3904804,"Southwest Licking Local",583,"Performance on Statewide Mathematics Assessment","61",61,61,307,"High School","Mathematics"
"2018-2019","OHIO",3904807,"Benjamin Logan Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,142,"High School","Mathematics"
"2018-2019","OHIO",3904808,"Indian Lake Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,125,"High School","Mathematics"
"2018-2019","OHIO",3904809,"Riverside Local",583,"Performance on Statewide Mathematics Assessment","30-39",30,39,59,"High School","Mathematics"
"2018-2019","OHIO",3904811,"Avon Local",583,"Performance on Statewide Mathematics Assessment","76",76,76,344,"High School","Mathematics"
"2018-2019","OHIO",3904812,"Avon Lake City",583,"Performance on Statewide Mathematics Assessment","76",76,76,316,"High School","Mathematics"
"2018-2019","OHIO",3904813,"Clearview Local",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,148,"High School","Mathematics"
"2018-2019","OHIO",3904814,"Columbia Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,74,"High School","Mathematics"
"2018-2019","OHIO",3904815,"Firelands Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,147,"High School","Mathematics"
"2018-2019","OHIO",3904816,"Keystone Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,136,"High School","Mathematics"
"2018-2019","OHIO",3904817,"Midview Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,234,"High School","Mathematics"
"2018-2019","OHIO",3904820,"Anthony Wayne Local",583,"Performance on Statewide Mathematics Assessment","71",71,71,380,"High School","Mathematics"
"2018-2019","OHIO",3904821,"Ottawa Hills Local",583,"Performance on Statewide Mathematics Assessment","85-89",85,89,89,"High School","Mathematics"
"2018-2019","OHIO",3904822,"Springfield Local",583,"Performance on Statewide Mathematics Assessment","53",53,53,329,"High School","Mathematics"
"2018-2019","OHIO",3904823,"Washington Local",583,"Performance on Statewide Mathematics Assessment","47",47,47,621,"High School","Mathematics"
"2018-2019","OHIO",3904825,"Jefferson Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,88,"High School","Mathematics"
"2018-2019","OHIO",3904826,"Jonathan Alder Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,157,"High School","Mathematics"
"2018-2019","OHIO",3904827,"Madison-Plains Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,109,"High School","Mathematics"
"2018-2019","OHIO",3904829,"Austintown Local Schools",583,"Performance on Statewide Mathematics Assessment","60",60,60,344,"High School","Mathematics"
"2018-2019","OHIO",3904830,"Boardman Local",583,"Performance on Statewide Mathematics Assessment","50",50,50,330,"High School","Mathematics"
"2018-2019","OHIO",3904831,"Canfield Local",583,"Performance on Statewide Mathematics Assessment","85-89",85,89,256,"High School","Mathematics"
"2018-2019","OHIO",3904832,"Jackson-Milton Local",583,"Performance on Statewide Mathematics Assessment","40-49",40,49,56,"High School","Mathematics"
"2018-2019","OHIO",3904833,"Lowellville Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,40,"High School","Mathematics"
"2018-2019","OHIO",3904834,"Poland Local",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,172,"High School","Mathematics"
"2018-2019","OHIO",3904835,"Sebring Local",583,"Performance on Statewide Mathematics Assessment","40-59",40,59,30,"High School","Mathematics"
"2018-2019","OHIO",3904836,"South Range Local",583,"Performance on Statewide Mathematics Assessment","85-89",85,89,99,"High School","Mathematics"
"2018-2019","OHIO",3904837,"Springfield Local",583,"Performance on Statewide Mathematics Assessment","70-79",70,79,58,"High School","Mathematics"
"2018-2019","OHIO",3904838,"West Branch Local",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,132,"High School","Mathematics"
"2018-2019","OHIO",3904839,"Western Reserve Local",583,"Performance on Statewide Mathematics Assessment","90-94",90,94,76,"High School","Mathematics"
"2018-2019","OHIO",3904841,"Elgin Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,88,"High School","Mathematics"
"2018-2019","OHIO",3904842,"Pleasant Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,100,"High School","Mathematics"
"2018-2019","OHIO",3904843,"Ridgedale Local",583,"Performance on Statewide Mathematics Assessment","20-29",20,29,47,"High School","Mathematics"
"2018-2019","OHIO",3904844,"River Valley Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,173,"High School","Mathematics"
"2018-2019","OHIO",3904846,"Black River Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,86,"High School","Mathematics"
"2018-2019","OHIO",3904847,"Buckeye Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,206,"High School","Mathematics"
"2018-2019","OHIO",3904848,"Cloverleaf Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,204,"High School","Mathematics"
"2018-2019","OHIO",3904849,"Highland Local",583,"Performance on Statewide Mathematics Assessment","83",83,83,303,"High School","Mathematics"
"2018-2019","OHIO",3904851,"Eastern Local",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,67,"High School","Mathematics"
"2018-2019","OHIO",3904852,"Meigs Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,82,"High School","Mathematics"
"2018-2019","OHIO",3904853,"Southern Local",583,"Performance on Statewide Mathematics Assessment","40-49",40,49,46,"High School","Mathematics"
"2018-2019","OHIO",3904857,"Parkway Local",583,"Performance on Statewide Mathematics Assessment","85-89",85,89,63,"High School","Mathematics"
"2018-2019","OHIO",3904858,"St Henry Consolidated Local",583,"Performance on Statewide Mathematics Assessment","70-79",70,79,60,"High School","Mathematics"
"2018-2019","OHIO",3904859,"Fort Recovery Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,79,"High School","Mathematics"
"2018-2019","OHIO",3904861,"Bethel Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,117,"High School","Mathematics"
"2018-2019","OHIO",3904862,"Miami East Local",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,99,"High School","Mathematics"
"2018-2019","OHIO",3904863,"Newton Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,57,"High School","Mathematics"
